mpn,lcsc,package,manufacturer,source,checked_at
RC0402FR-07127RL,C276259,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.169149+00:00
RC0402FR-0712K1L,C132157,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.158150+00:00
RC0402FR-0712K7L,C138059,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.174149+00:00
RC0402FR-0712R1L,C477606,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.151150+00:00
RC0402FR-0712R7L,C245884,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.167149+00:00
RC0402FR-07133KL,C327374,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.192149+00:00
RC0402FR-07133RL,C327373,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.185150+00:00
RC0402FR-0713K3L,C274352,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.190149+00:00
RC0402FR-0713R3L,C477608,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.183150+00:00
RC0402FR-07140KL,C114151,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.209150+00:00
RC0402FR-07140RL,C138056,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.202150+00:00
RC0402FR-07147KL,C163489,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.226149+00:00
RC0402FR-07147RL,C245885,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.219149+00:00
RC0402FR-0714K7L,C138055,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.223150+00:00
RC0402FR-0714KL,C327372,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.207149+00:00
RC0402FR-0714R7L,C477612,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.216150+00:00
RC0402FR-0714RL,C477614,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.199150+00:00
RC0402FR-07154KL,C138053,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.243149+00:00
RC0402FR-07154RL,C477616,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.236150+00:00
RC0402FR-0715K4L,C185463,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.240149+00:00
RC0402FR-0715R4L,C273689,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.233149+00:00
RC0402FR-07162KL,C185462,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.260150+00:00
RC0402FR-07162RL,C185461,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.252149+00:00
RC0402FR-07169KL,C327367,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.277149+00:00
RC0402FR-07169RL,C138051,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.270150+00:00
RC0402FR-0716K2L,C138050,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.257149+00:00
RC0402FR-0716K9L,C163488,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.274150+00:00
RC0402FR-0716R2L,C477619,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.250149+00:00
RC0402FR-0716R9L,C273694,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.267150+00:00
RC0402FR-07178KL,C185459,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.294149+00:00
RC0402FR-07178RL,C477625,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.287149+00:00
RC0402FR-0717K8L,C185458,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.292149+00:00
RC0402FR-0717R8L,C245886,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.284149+00:00
RC0402FR-07187KL,C163486,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.312149+00:00
RC0402FR-07187RL,C274350,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.304149+00:00
RC0402FR-0718K7L,C295877,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.310149+00:00
RC0402FR-0718KL,C138044,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.151180+00:00
RC0402FR-0718R7L,C477626,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.302149+00:00
RC0402FR-07196KL,C477631,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.330149+00:00
RC0402FR-07196RL,C477632,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.322149+00:00
RC0402FR-0719K6L,C477629,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.328150+00:00
RC0402FR-0719R6L,C477630,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.320149+00:00
RC0402FR-071K15L,C477191,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.140149+00:00
RC0402FR-071K1L,C138041,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.124149+00:00
RC0402FR-071K21L,C163484,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.156149+00:00
RC0402FR-071K27L,C327364,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.171150+00:00
RC0402FR-071K33L,C276261,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.188150+00:00
RC0402FR-071K47L,C185454,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.221150+00:00
RC0402FR-071K4L,C375491,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.204150+00:00
RC0402FR-071K54L,C138039,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.238150+00:00
RC0402FR-071K5L,C114759,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.108150+00:00
RC0402FR-071K62L,C138038,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.255149+00:00
RC0402FR-071K69L,C185452,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.272149+00:00
RC0402FR-071K78L,C185450,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.289149+00:00
RC0402FR-071K87L,C138037,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.307149+00:00
RC0402FR-071K96L,C138036,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.325149+00:00
RC0402FR-071M15L,C477192,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.146149+00:00
RC0402FR-071M1L,C185448,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.130150+00:00
RC0402FR-071M21L,C477196,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.162149+00:00
RC0402FR-071M27L,C477200,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.178150+00:00
RC0402FR-071M33L,C477202,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.195149+00:00
RC0402FR-071M47L,C477211,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.228149+00:00
RC0402FR-071M4L,C477213,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.211150+00:00
RC0402FR-071M54L,C477215,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.245149+00:00
RC0402FR-071M5L,C138034,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.115149+00:00
RC0402FR-071M62L,C477219,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.262149+00:00
RC0402FR-071M69L,C327244,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.279150+00:00
RC0402FR-071M78L,C477227,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.297150+00:00
RC0402FR-071M87L,C477596,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.315149+00:00
RC0402FR-071M96L,C477601,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.333149+00:00
RC0402FR-071ML,C138033,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.097149+00:00
RC0402FR-071R15L,C477193,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.133149+00:00
RC0402FR-071R1L,C327254,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.117150+00:00
RC0402FR-071R21L,C477197,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.148150+00:00
RC0402FR-071R27L,C477201,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.165149+00:00
RC0402FR-071R33L,C477203,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.181149+00:00
RC0402FR-071R47L,C477212,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.214149+00:00
RC0402FR-071R4L,C477214,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.197149+00:00
RC0402FR-071R54L,C477216,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.231150+00:00
RC0402FR-071R5L,C327253,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.101149+00:00
RC0402FR-071R62L,C477220,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.248150+00:00
RC0402FR-071R69L,C477223,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.265149+00:00
RC0402FR-071R78L,C477228,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.282149+00:00
RC0402FR-071R87L,C477597,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.299149+00:00
RC0402FR-071R96L,C477602,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.317149+00:00
RC0402FR-071RL,C185446,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.086149+00:00
RC0402FR-07205KL,C477669,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.345150+00:00
RC0402FR-07205RL,C477670,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.339150+00:00
RC0402FR-0720K5L,C185445,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.343149+00:00
RC0402FR-0720R5L,C245888,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.336150+00:00
RC0402FR-07215KL,C185443,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.362149+00:00
RC0402FR-07215RL,C477673,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.354149+00:00
RC0402FR-0721K5L,C185442,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.360149+00:00
RC0402FR-0721R5L,C477672,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.352149+00:00
RC0402FR-07220RL,C112291,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.155187+00:00
RC0402FR-07226KL,C273712,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.381149+00:00
RC0402FR-07226RL,C82852,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.373149+00:00
RC0402FR-0722K6L,C477674,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.378149+00:00
RC0402FR-0722R6L,C272377,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.370149+00:00
RC0402FR-0722RL,C114765,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.160189+00:00
RC0402FR-07237KL,C273703,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.398149+00:00
RC0402FR-07237RL,C477678,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.391149+00:00
RC0402FR-0723K7L,C327362,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.395150+00:00
RC0402FR-0723R7L,C477677,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.388150+00:00
RC0402FR-07249KL,C163476,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.416149+00:00
RC0402FR-07249RL,C185439,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.408149+00:00
RC0402FR-0724K9L,C138027,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.414149+00:00
RC0402FR-0724R9L,C138025,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.406150+00:00
RC0402FR-07261KL,C185437,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.435149+00:00
RC0402FR-07261RL,C273335,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.427149+00:00
RC0402FR-0726K1L,C155697,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.432149+00:00
RC0402FR-0726R1L,C185436,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.424150+00:00
RC0402FR-07274KL,C185435,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.454149+00:00
RC0402FR-07274RL,C327359,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.446149+00:00
RC0402FR-0727K4L,C273730,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.451149+00:00
RC0402FR-0727R4L,C274349,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.443149+00:00
RC0402FR-07287KL,C327358,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.473149+00:00
RC0402FR-07287RL,C375493,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.465149+00:00
RC0402FR-0728K7L,C185433,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.471150+00:00
RC0402FR-0728R7L,C477680,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.462149+00:00
RC0402FR-072K15L,C327353,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.357150+00:00
RC0402FR-072K26L,C477641,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.375150+00:00
RC0402FR-072K49L,C145071,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.411149+00:00
RC0402FR-072K61L,C163472,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.430149+00:00
RC0402FR-072K74L,C185430,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.449149+00:00
RC0402FR-072K87L,C185429,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.468149+00:00
RC0402FR-072M15L,C477635,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.365149+00:00
RC0402FR-072M26L,C477642,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.383149+00:00
RC0402FR-072M37L,C477647,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.400150+00:00
RC0402FR-072M49L,C470021,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.419149+00:00
RC0402FR-072M61L,C477656,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.438149+00:00
RC0402FR-072M74L,C470022,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.457149+00:00
RC0402FR-072M87L,C477663,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.476150+00:00
RC0402FR-072R15L,C477636,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.349149+00:00
RC0402FR-072R26L,C477643,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.367149+00:00
RC0402FR-072R37L,C477648,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.386149+00:00
RC0402FR-072R49L,C138012,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.403149+00:00
RC0402FR-072R61L,C477657,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.422150+00:00
RC0402FR-072R74L,C477661,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.441150+00:00
RC0402FR-072R87L,C477664,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.460150+00:00
RC0402FR-07301KL,C171693,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.490149+00:00
RC0402FR-07301RL,C477711,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.483149+00:00
RC0402FR-0730K1L,C138009,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.488150+00:00
RC0402FR-0730R1L,C273706,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.480150+00:00
RC0402FR-07316KL,C185427,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.509149+00:00
RC0402FR-07316RL,C273715,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.500150+00:00
RC0402FR-0731K6L,C276265,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.506149+00:00
RC0402FR-0731R6L,C327352,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.497150+00:00
RC0402FR-07330KL,C138006,0402,YAGEO,jlcparts SQLite,2026-09-05T12:47:21.164180+00:00
RC0402FR-07332KL,C138005,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.529150+00:00
RC0402FR-07332RL,C138004,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.520149+00:00
RC0402FR-0733K2L,C130276,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.526149+00:00
RC0402FR-0733R2L,C276266,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.517149+00:00
RC0402FR-07348KL,C273713,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.549150+00:00
RC0402FR-07348RL,C477714,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.540149+00:00
RC0402FR-0734K8L,C327350,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.546150+00:00
RC0402FR-0734R8L,C138001,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.537149+00:00
RC0402FR-07365KL,C276268,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.569150+00:00
RC0402FR-07365RL,C327348,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.560149+00:00
RC0402FR-0736K5L,C15011,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.566150+00:00
RC0402FR-0736R5L,C477716,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.558149+00:00
RC0402FR-07383KL,C163468,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.589149+00:00
RC0402FR-07383RL,C276269,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.581150+00:00
RC0402FR-0738K3L,C273719,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.586149+00:00
RC0402FR-0738R3L,C137998,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.578149+00:00
RC0402FR-073K16L,C163466,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.503150+00:00
RC0402FR-073K32L,C137993,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.523149+00:00
RC0402FR-073K48L,C185418,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.543150+00:00
RC0402FR-073K65L,C163465,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.563149+00:00
RC0402FR-073K83L,C185417,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.583149+00:00
RC0402FR-073M16L,C477687,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.512149+00:00
RC0402FR-073M32L,C477691,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.532149+00:00
RC0402FR-073M48L,C477694,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.552149+00:00
RC0402FR-073M65L,C477700,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.572149+00:00
RC0402FR-073M83L,C477707,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.592149+00:00
RC0402FR-073R16L,C477688,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.495149+00:00
RC0402FR-073R32L,C477692,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.515150+00:00
RC0402FR-073R48L,C477695,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.535149+00:00
RC0402FR-073R65L,C477701,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.555149+00:00
RC0402FR-073R83L,C477708,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.575149+00:00
RC0402FR-07402KL,C327345,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.607149+00:00
RC0402FR-07402RL,C137984,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.600149+00:00
RC0402FR-0740K2L,C137983,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.604150+00:00
RC0402FR-0740R2L,C274892,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.597149+00:00
RC0402FR-07422KL,C477738,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.627149+00:00
RC0402FR-07422RL,C272376,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.618150+00:00
RC0402FR-0742K2L,C276270,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.624150+00:00
RC0402FR-0742R2L,C477737,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.615149+00:00
RC0402FR-07442KL,C273339,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.658229+00:00
RC0402FR-07442RL,C185414,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.639149+00:00
RC0402FR-0744K2L,C354260,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.645149+00:00
RC0402FR-0744R2L,C185413,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.636150+00:00
RC0402FR-07464KL,C477740,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.678228+00:00
RC0402FR-07464RL,C477741,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.670228+00:00
RC0402FR-0746K4L,C185412,0402,YAGEO,jlcparts SQLite,2026-09-05T12:46:35.676228+00:00
